Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,novaclass
1.36,3.55,6.92,6.9,0.0,51.0,1.18,16.0,1.0,2.0,1.237,69.0,65.0,4
1.36,3.55,6.92,6.9,0.0,51.0,1.18,16.0,1.0,2.0,1.237,69.0,65.0,4
1.35,3.52,7.04,7.04,0.0,52.0,1.18,18.0,1.0,2.0,1.228,69.0,65.0,4
1.37,3.62,6.87,6.87,0.0,54.0,1.19,19.0,1.0,2.0,1.239,69.0,65.0,4
1.8,3.26,8.73,8.3,0.0,141.0,1.41,34.0,2.7,2.0,2.12,101.0,71.0,4
1.8,3.26,8.73,8.3,0.0,141.0,1.41,34.0,2.7,2.0,2.12,101.0,71.0,4
1.92,3.77,6.94,6.9,0.0,72.0,1.23,23.0,1.2,2.0,2.447,97.0,69.0,4
1.92,3.77,6.94,6.9,0.0,72.0,1.23,23.0,1.2,2.0,2.447,97.0,69.0,4
2.01,3.95,7.22,7.26,0.0,78.0,1.29,27.0,1.3,2.0,1.377,102.0,73.0,4
1.38,3.5,7.18,7.18,0.0,51.0,1.18,18.0,1.0,1.0,1.469,71.0,63.0,4
1.38,3.5,7.18,7.18,0.0,51.0,1.18,18.0,1.0,1.0,1.469,71.0,63.0,4
1.38,3.76,7.18,7.18,0.0,53.0,1.18,20.0,1.0,1.0,1.591,71.0,66.0,4
1.33,3.32,6.9,6.88,0.0,52.0,1.14,21.0,1.0,2.0,1.413,69.0,64.0,4
1.38,3.5,7.1,7.1,0.0,51.0,1.18,18.0,1.0,1.0,1.453,71.0,64.0,4
1.38,3.5,7.1,7.1,0.0,51.0,1.18,18.0,1.0,1.0,1.453,71.0,64.0,4
1.41,3.56,7.34,7.16,0.0,54.0,1.21,20.0,1.0,1.0,1.576,73.0,67.0,4
1.33,3.32,6.9,6.88,0.0,52.0,1.14,21.0,1.0,2.0,1.379,69.0,63.0,4
1.71,3.49,7.53,6.44,0.0,53.0,1.23,27.0,1.0,1.0,1.453,74.0,68.0,4
1.71,3.49,7.53,6.44,0.0,53.0,1.23,27.0,1.0,1.0,1.453,74.0,68.0,4
1.63,3.32,7.17,7.17,0.0,53.0,1.17,30.0,1.0,2.0,1.401,70.0,65.0,4
2.0,3.8,7.4,7.4,0.0,86.0,1.28,25.0,1.4,1.0,1.578,75.0,71.0,4
2.0,3.8,7.4,7.4,0.0,86.0,1.28,25.0,1.4,1.0,1.578,75.0,71.0,4
1.77,3.83,7.95,7.24,0.0,86.0,1.26,28.0,1.4,2.0,1.614,80.0,73.0,4
1.52,3.5,6.39,6.44,0.0,53.0,1.18,21.0,1.0,0.0,1.5,71.0,63.0,4
1.68,3.83,7.95,7.95,0.0,62.0,1.32,30.0,1.1,0.0,1.653,79.0,73.0,4
1.78,3.63,7.18,7.18,0.0,133.0,1.37,25.0,1.0,1.0,1.55,89.0,64.0,4
1.78,3.63,7.18,7.18,0.0,133.0,1.37,25.0,1.0,1.0,1.55,89.0,64.0,4
1.84,3.82,7.95,7.52,0.0,88.0,1.28,33.0,1.1,1.0,1.625,92.0,71.0,4
1.38,3.5,7.18,7.18,0.0,53.0,1.18,19.0,1.0,1.0,1.495,72.0,63.0,4
